 ID,PARAM,Date,Carillon,SYM
02LB024,1,2025/01/01,1620,
02LB024,1,2025/01/02,1700,
02LB024,1,2025/01/03,1780,
02LB024,1,2025/01/04,1670,
02LB024,1,2025/01/05,1730,
02LB024,1,2025/01/06,1650,
02LB024,1,2025/01/07,1640,
02LB024,1,2025/01/08,1880,
02LB024,1,2025/01/09,1710,
02LB024,1,2025/01/10,1690,
02LB024,1,2025/01/11,1750,
02LB024,1,2025/01/12,1630,
02LB024,1,2025/01/13,1490,
02LB024,1,2025/01/14,1830,
02LB024,1,2025/01/15,1640,
02LB024,1,2025/01/16,1830,
02LB024,1,2025/01/17,1750,
02LB024,1,2025/01/18,1700,
02LB024,1,2025/01/19,1710,
02LB024,1,2025/01/20,1620,
02LB024,1,2025/01/21,1600,
02LB024,1,2025/01/22,1700,
02LB024,1,2025/01/23,1600,
02LB024,1,2025/01/24,1640,
02LB024,1,2025/01/25,1620,
02LB024,1,2025/01/26,1730,
02LB024,1,2025/01/27,1780,
02LB024,1,2025/01/28,1790,
02LB024,1,2025/01/29,1920,
02LB024,1,2025/01/30,1980,
02LB024,1,2025/01/31,1730,
02LB024,1,2025/02/01,1950,
02LB024,1,2025/02/02,1790,
02LB024,1,2025/02/03,1980,
02LB024,1,2025/02/04,1690,
02LB024,1,2025/02/05,1840,
02LB024,1,2025/02/06,1770,
02LB024,1,2025/02/07,1690,
02LB024,1,2025/02/08,1810,
02LB024,1,2025/02/09,1790,
02LB024,1,2025/02/10,1750,
02LB024,1,2025/02/11,1830,
02LB024,1,2025/02/12,1850,
02LB024,1,2025/02/13,1800,
02LB024,1,2025/02/14,1950,
02LB024,1,2025/02/15,1850,
02LB024,1,2025/02/16,1780,
02LB024,1,2025/02/17,1920,
02LB024,1,2025/02/18,1890,
02LB024,1,2025/02/19,1900,
02LB024,1,2025/02/20,1940,
02LB024,1,2025/02/21,2020,
02LB024,1,2025/02/22,2160,
02LB024,1,2025/02/23,2200,
02LB024,1,2025/02/24,2280,
02LB024,1,2025/02/25,2240,
02LB024,1,2025/02/26,2160,
02LB024,1,2025/02/27,2180,
02LB024,1,2025/02/28,2390,
02LB024,1,2025/03/01,2100,
02LB024,1,2025/03/02,2200,
02LB024,1,2025/03/03,2290,
02LB024,1,2025/03/04,2320,
02LB024,1,2025/03/05,2210,
02LB024,1,2025/03/06,2090,
02LB024,1,2025/03/07,2060,
02LB024,1,2025/03/08,2040,
02LB024,1,2025/03/09,2110,
02LB024,1,2025/03/10,1900,
02LB024,1,2025/03/11,2080,
02LB024,1,2025/03/12,1960,
02LB024,1,2025/03/13,1920,
02LB024,1,2025/03/14,1860,
02LB024,1,2025/03/15,1830,
02LB024,1,2025/03/16,1680,
02LB024,1,2025/03/17,1410,
02LB024,1,2025/03/18,1640,
02LB024,1,2025/03/19,1590,
02LB024,1,2025/03/20,1480,
02LB024,1,2025/03/21,1550,
02LB024,1,2025/03/22,1490,
02LB024,1,2025/03/23,1680,
02LB024,1,2025/03/24,1450,
02LB024,1,2025/03/25,1570,
02LB024,1,2025/03/26,1650,
02LB024,1,2025/03/27,1660,
02LB024,1,2025/03/28,1690,
02LB024,1,2025/03/29,1650,
02LB024,1,2025/03/30,1480,
02LB024,1,2025/03/31,1450,
02LB024,1,2025/04/01,1480,
02LB024,1,2025/04/02,1500,
02LB024,1,2025/04/03,1610,
02LB024,1,2025/04/04,1680,
02LB024,1,2025/04/05,1950,
02LB024,1,2025/04/06,2040,
02LB024,1,2025/04/07,2060,
02LB024,1,2025/04/08,1890,
02LB024,1,2025/04/09,1820,
02LB024,1,2025/04/10,2020,
02LB024,1,2025/04/11,2600,
02LB024,1,2025/04/12,3150,
02LB024,1,2025/04/13,3980,
02LB024,1,2025/04/14,3770,
02LB024,1,2025/04/15,3240,
02LB024,1,2025/04/16,4170,
02LB024,1,2025/04/17,4600,
02LB024,1,2025/04/18,4490,
02LB024,1,2025/04/19,4410,
02LB024,1,2025/04/20,4120,
02LB024,1,2025/04/21,3760,
02LB024,1,2025/04/22,3590,
02LB024,1,2025/04/23,3220,
02LB024,1,2025/04/24,2700,
02LB024,1,2025/04/25,2440,
02LB024,1,2025/04/26,2260,
02LB024,1,2025/04/27,2480,
02LB024,1,2025/04/28,2570,
02LB024,1,2025/04/29,2670,
02LB024,1,2025/04/30,2780,
02LB024,1,2025/05/01,2740,
02LB024,1,2025/05/02,2640,
02LB024,1,2025/05/03,2570,
02LB024,1,2025/05/04,2500,
02LB024,1,2025/05/05,2380,
02LB024,1,2025/05/06,2400,
02LB024,1,2025/05/07,2470,
02LB024,1,2025/05/08,2350,
02LB024,1,2025/05/09,2390,
02LB024,1,2025/05/10,2350,
02LB024,1,2025/05/11,2170,
02LB024,1,2025/05/12,2370,
02LB024,1,2025/05/13,2250,
02LB024,1,2025/05/14,2270,
02LB024,1,2025/05/15,2190,
02LB024,1,2025/05/16,2200,
02LB024,1,2025/05/17,2390,
02LB024,1,2025/05/18,2480,
02LB024,1,2025/05/19,2630,
02LB024,1,2025/05/20,2750,
02LB024,1,2025/05/21,2790,
02LB024,1,2025/05/22,2880,
02LB024,1,2025/05/23,2880,
02LB024,1,2025/05/24,2920,
02LB024,1,2025/05/25,2840,
02LB024,1,2025/05/26,2740,
02LB024,1,2025/05/27,2970,
02LB024,1,2025/05/28,2850,
02LB024,1,2025/05/29,2700,
02LB024,1,2025/05/30,2750,
02LB024,1,2025/05/31,2760,
02LB024,1,2025/06/01,2740,
02LB024,1,2025/06/02,2780,
02LB024,1,2025/06/03,2840,
02LB024,1,2025/06/04,2800,
02LB024,1,2025/06/05,2710,
02LB024,1,2025/06/06,2520,
02LB024,1,2025/06/07,2710,
02LB024,1,2025/06/08,2580,
02LB024,1,2025/06/09,2350,
02LB024,1,2025/06/10,2210,
02LB024,1,2025/06/11,2160,
02LB024,1,2025/06/12,2060,
02LB024,1,2025/06/13,1920,
02LB024,1,2025/06/14,1880,
02LB024,1,2025/06/15,1800,
02LB024,1,2025/06/16,1880,
02LB024,1,2025/06/17,1950,
02LB024,1,2025/06/18,2070,
02LB024,1,2025/06/19,2120,
02LB024,1,2025/06/20,2110,
02LB024,1,2025/06/21,2020,
02LB024,1,2025/06/22,1950,
02LB024,1,2025/06/23,1860,
02LB024,1,2025/06/24,1730,
02LB024,1,2025/06/25,1700,
02LB024,1,2025/06/26,1890,
02LB024,1,2025/06/27,1770,
02LB024,1,2025/06/28,1920,
02LB024,1,2025/06/29,2030,
02LB024,1,2025/06/30,2410,
02LB024,1,2025/07/01,2390,
02LB024,1,2025/07/02,2340,
02LB024,1,2025/07/03,2370,
02LB024,1,2025/07/04,2200,
