 ID,PARAM,Date,Bryson,SYM
02KC017,1,2025/01/01,422,
02KC017,1,2025/01/02,420,
02KC017,1,2025/01/03,415,
02KC017,1,2025/01/04,416,
02KC017,1,2025/01/05,421,
02KC017,1,2025/01/06,424,
02KC017,1,2025/01/07,426,
02KC017,1,2025/01/08,428,
02KC017,1,2025/01/09,426,
02KC017,1,2025/01/10,405,
02KC017,1,2025/01/11,408,
02KC017,1,2025/01/12,409,
02KC017,1,2025/01/13,411,
02KC017,1,2025/01/14,410,
02KC017,1,2025/01/15,395,
02KC017,1,2025/01/16,390,
02KC017,1,2025/01/17,384,
02KC017,1,2025/01/18,391,
02KC017,1,2025/01/19,418,
02KC017,1,2025/01/20,409,
02KC017,1,2025/01/21,409,
02KC017,1,2025/01/22,408,
02KC017,1,2025/01/23,409,
02KC017,1,2025/01/24,411,
02KC017,1,2025/01/25,420,
02KC017,1,2025/01/26,420,
02KC017,1,2025/01/27,419,
02KC017,1,2025/01/28,419,
02KC017,1,2025/01/29,405,
02KC017,1,2025/01/30,393,
02KC017,1,2025/01/31,399,
02KC017,1,2025/02/01,398,
02KC017,1,2025/02/02,399,
02KC017,1,2025/02/03,409,
02KC017,1,2025/02/04,398,
02KC017,1,2025/02/05,408,
02KC017,1,2025/02/06,409,
02KC017,1,2025/02/07,408,
02KC017,1,2025/02/08,398,
02KC017,1,2025/02/09,409,
02KC017,1,2025/02/10,420,
02KC017,1,2025/02/11,419,
02KC017,1,2025/02/12,396,
02KC017,1,2025/02/13,389,
02KC017,1,2025/02/14,398,
02KC017,1,2025/02/15,401,
02KC017,1,2025/02/16,407,
02KC017,1,2025/02/17,408,
02KC017,1,2025/02/18,408,
02KC017,1,2025/02/19,410,
02KC017,1,2025/02/20,406,
02KC017,1,2025/02/21,409,
02KC017,1,2025/02/22,404,
02KC017,1,2025/02/23,406,
02KC017,1,2025/02/24,407,
02KC017,1,2025/02/25,403,
02KC017,1,2025/02/26,405,
02KC017,1,2025/02/27,406,
02KC017,1,2025/02/28,411,
02KC017,1,2025/03/01,410,
02KC017,1,2025/03/02,416,
02KC017,1,2025/03/03,399,
02KC017,1,2025/03/04,385,
02KC017,1,2025/03/05,389,
02KC017,1,2025/03/06,384,
02KC017,1,2025/03/07,373,
02KC017,1,2025/03/08,341,
02KC017,1,2025/03/09,355,
02KC017,1,2025/03/10,401,
02KC017,1,2025/03/11,399,
02KC017,1,2025/03/12,426,
02KC017,1,2025/03/13,431,
02KC017,1,2025/03/14,403,
02KC017,1,2025/03/15,406,
02KC017,1,2025/03/16,403,
02KC017,1,2025/03/17,413,
02KC017,1,2025/03/18,419,
02KC017,1,2025/03/19,419,
02KC017,1,2025/03/20,416,
02KC017,1,2025/03/21,412,
02KC017,1,2025/03/22,409,
02KC017,1,2025/03/23,403,
02KC017,1,2025/03/24,428,
02KC017,1,2025/03/25,410,
02KC017,1,2025/03/26,409,
02KC017,1,2025/03/27,393,
02KC017,1,2025/03/28,404,
02KC017,1,2025/03/29,406,
02KC017,1,2025/03/30,398,
02KC017,1,2025/03/31,394,
02KC017,1,2025/04/01,392,
02KC017,1,2025/04/02,394,
02KC017,1,2025/04/03,378,
02KC017,1,2025/04/04,371,
02KC017,1,2025/04/05,374,
02KC017,1,2025/04/06,381,
02KC017,1,2025/04/07,389,
02KC017,1,2025/04/08,377,
02KC017,1,2025/04/09,381,
02KC017,1,2025/04/10,392,
02KC017,1,2025/04/11,410,
02KC017,1,2025/04/12,422,
02KC017,1,2025/04/13,402,
02KC017,1,2025/04/14,406,
02KC017,1,2025/04/15,415,
02KC017,1,2025/04/16,406,
02KC017,1,2025/04/17,421,
02KC017,1,2025/04/18,420,
02KC017,1,2025/04/19,415,
02KC017,1,2025/04/20,408,
02KC017,1,2025/04/21,403,
02KC017,1,2025/04/22,397,
02KC017,1,2025/04/23,384,
02KC017,1,2025/04/24,384,
02KC017,1,2025/04/25,389,
02KC017,1,2025/04/26,406,
02KC017,1,2025/04/27,391,
02KC017,1,2025/04/28,416,
02KC017,1,2025/04/29,394,
02KC017,1,2025/04/30,398,
02KC017,1,2025/05/01,394,
02KC017,1,2025/05/02,393,
02KC017,1,2025/05/03,393,
02KC017,1,2025/05/04,383,
02KC017,1,2025/05/05,384,
02KC017,1,2025/05/06,388,
02KC017,1,2025/05/07,370,
02KC017,1,2025/05/08,378,
02KC017,1,2025/05/09,372,
02KC017,1,2025/05/10,373,
02KC017,1,2025/05/11,369,
02KC017,1,2025/05/12,371,
02KC017,1,2025/05/13,373,
02KC017,1,2025/05/14,368,
02KC017,1,2025/05/15,367,
02KC017,1,2025/05/16,357,
02KC017,1,2025/05/17,360,
02KC017,1,2025/05/18,370,
02KC017,1,2025/05/19,350,
02KC017,1,2025/05/20,377,
02KC017,1,2025/05/21,367,
02KC017,1,2025/05/22,362,
02KC017,1,2025/05/23,358,
02KC017,1,2025/05/24,341,
02KC017,1,2025/05/25,318,
02KC017,1,2025/05/26,331,
02KC017,1,2025/05/27,329,
02KC017,1,2025/05/28,358,
