 ID,PARAM,Date,Peribonka,SYM
02RC005,2,1993/01/01,438.68,
02RC005,2,1993/01/02,438.61,
02RC005,2,1993/01/03,438.50,
02RC005,2,1993/01/04,438.49,
02RC005,2,1993/01/05,438.43,
02RC005,2,1993/01/06,438.36,
02RC005,2,1993/01/07,438.30,
02RC005,2,1993/01/08,438.23,
02RC005,2,1993/01/09,438.17,
02RC005,2,1993/01/10,438.10,
02RC005,2,1993/01/11,438.01,
02RC005,2,1993/01/12,437.95,
02RC005,2,1993/01/13,437.87,
02RC005,2,1993/01/14,437.80,
02RC005,2,1993/01/15,437.72,
02RC005,2,1993/01/16,437.64,
02RC005,2,1993/01/17,437.56,
02RC005,2,1993/01/18,437.49,
02RC005,2,1993/01/19,437.42,
02RC005,2,1993/01/20,437.34,
02RC005,2,1993/01/21,437.25,
02RC005,2,1993/01/22,437.17,
02RC005,2,1993/01/23,437.09,
02RC005,2,1993/01/24,437.03,
02RC005,2,1993/01/25,436.97,
02RC005,2,1993/01/26,436.91,
02RC005,2,1993/01/27,436.84,
02RC005,2,1993/01/28,436.77,
02RC005,2,1993/01/29,436.68,
02RC005,2,1993/01/30,436.60,
02RC005,2,1993/01/31,436.50,
02RC005,2,1993/02/01,436.40,
02RC005,2,1993/02/02,436.30,
02RC005,2,1993/02/03,436.19,
02RC005,2,1993/02/04,436.12,
02RC005,2,1993/02/05,436.02,
02RC005,2,1993/02/06,435.93,
02RC005,2,1993/02/07,435.83,
02RC005,2,1993/02/08,435.74,
02RC005,2,1993/02/09,435.64,
02RC005,2,1993/02/10,435.52,
02RC005,2,1993/02/11,435.45,
02RC005,2,1993/02/12,435.35,
02RC005,2,1993/02/13,435.26,
02RC005,2,1993/02/14,435.16,
02RC005,2,1993/02/15,435.06,
02RC005,2,1993/02/16,434.97,
02RC005,2,1993/02/17,434.88,
02RC005,2,1993/02/18,434.78,
02RC005,2,1993/02/19,434.68,
02RC005,2,1993/02/20,434.58,
02RC005,2,1993/02/21,434.48,
02RC005,2,1993/02/22,434.39,
02RC005,2,1993/02/23,434.28,
02RC005,2,1993/02/24,434.18,
02RC005,2,1993/02/25,434.07,
02RC005,2,1993/02/26,433.96,
02RC005,2,1993/02/27,433.86,
02RC005,2,1993/02/28,433.75,
02RC005,2,1993/03/01,433.65,
02RC005,2,1993/03/02,433.55,
02RC005,2,1993/03/03,433.42,
02RC005,2,1993/03/04,433.28,
02RC005,2,1993/03/05,433.14,
02RC005,2,1993/03/06,432.99,
02RC005,2,1993/03/07,432.85,
02RC005,2,1993/03/08,432.68,
02RC005,2,1993/03/09,432.53,
02RC005,2,1993/03/10,432.36,
02RC005,2,1993/03/11,432.21,
02RC005,2,1993/03/12,432.03,
02RC005,2,1993/03/13,431.86,
02RC005,2,1993/03/14,431.71,
02RC005,2,1993/03/15,431.51,
02RC005,2,1993/03/16,431.33,
02RC005,2,1993/03/17,431.17,
02RC005,2,1993/03/18,430.99,
02RC005,2,1993/03/19,430.79,
02RC005,2,1993/03/20,430.62,
02RC005,2,1993/03/21,430.43,
02RC005,2,1993/03/22,430.23,
02RC005,2,1993/03/23,430.04,
02RC005,2,1993/03/24,429.85,
02RC005,2,1993/03/25,429.67,
02RC005,2,1993/03/26,429.48,
02RC005,2,1993/03/27,429.29,
02RC005,2,1993/03/28,429.11,
02RC005,2,1993/03/29,428.93,
02RC005,2,1993/03/30,428.74,
02RC005,2,1993/03/31,428.55,
02RC005,2,1993/04/01,428.36,
02RC005,2,1993/04/02,428.22,
02RC005,2,1993/04/03,428.12,
02RC005,2,1993/04/04,428.03,
02RC005,2,1993/04/05,427.93,
02RC005,2,1993/04/06,427.80,
02RC005,2,1993/04/07,427.67,
02RC005,2,1993/04/08,427.52,
02RC005,2,1993/04/09,427.37,
02RC005,2,1993/04/10,427.24,
02RC005,2,1993/04/11,427.15,
02RC005,2,1993/04/12,427.10,
02RC005,2,1993/04/13,427.03,
02RC005,2,1993/04/14,426.94,
02RC005,2,1993/04/15,426.88,
02RC005,2,1993/04/16,426.84,
02RC005,2,1993/04/17,426.81,
02RC005,2,1993/04/18,426.83,
02RC005,2,1993/04/19,426.85,
02RC005,2,1993/04/20,426.89,
02RC005,2,1993/04/21,426.93,
02RC005,2,1993/04/22,427.02,
02RC005,2,1993/04/23,427.09,
02RC005,2,1993/04/24,427.18,
02RC005,2,1993/04/25,427.31,
02RC005,2,1993/04/26,427.44,
02RC005,2,1993/04/27,427.55,
02RC005,2,1993/04/28,427.67,
02RC005,2,1993/04/29,427.78,
02RC005,2,1993/04/30,427.87,
02RC005,2,1993/05/01,427.98,
02RC005,2,1993/05/02,428.12,
02RC005,2,1993/05/03,428.28,
02RC005,2,1993/05/04,428.49,
02RC005,2,1993/05/05,428.80,
02RC005,2,1993/05/06,429.26,
02RC005,2,1993/05/07,429.79,
02RC005,2,1993/05/08,430.35,
02RC005,2,1993/05/09,430.93,
02RC005,2,1993/05/10,431.49,
02RC005,2,1993/05/11,432.04,
02RC005,2,1993/05/12,432.55,
02RC005,2,1993/05/13,433.06,
02RC005,2,1993/05/14,433.51,
02RC005,2,1993/05/15,433.94,
02RC005,2,1993/05/16,434.35,
02RC005,2,1993/05/17,434.73,
02RC005,2,1993/05/18,435.09,
02RC005,2,1993/05/19,435.42,
02RC005,2,1993/05/20,435.75,
02RC005,2,1993/05/21,436.08,
02RC005,2,1993/05/22,436.41,
02RC005,2,1993/05/23,436.71,
02RC005,2,1993/05/24,437.01,
02RC005,2,1993/05/25,437.29,
02RC005,2,1993/05/26,437.58,
02RC005,2,1993/05/27,437.89,
02RC005,2,1993/05/28,438.19,
02RC005,2,1993/05/29,438.48,
02RC005,2,1993/05/30,438.77,
02RC005,2,1993/05/31,439.01,
02RC005,2,1993/06/01,439.24,
02RC005,2,1993/06/02,439.47,
02RC005,2,1993/06/03,439.66,
02RC005,2,1993/06/04,439.81,
02RC005,2,1993/06/05,439.91,
02RC005,2,1993/06/06,440.00,
02RC005,2,1993/06/07,440.09,
02RC005,2,1993/06/08,440.12,
02RC005,2,1993/06/09,440.14,
02RC005,2,1993/06/10,440.16,
02RC005,2,1993/06/11,440.17,
02RC005,2,1993/06/12,440.17,
02RC005,2,1993/06/13,440.15,
02RC005,2,1993/06/14,440.12,
02RC005,2,1993/06/15,440.08,
02RC005,2,1993/06/16,440.06,
02RC005,2,1993/06/17,440.03,
02RC005,2,1993/06/18,439.98,
02RC005,2,1993/06/19,439.94,
02RC005,2,1993/06/20,439.88,
02RC005,2,1993/06/21,439.83,
02RC005,2,1993/06/22,439.81,
02RC005,2,1993/06/23,439.77,
02RC005,2,1993/06/24,439.69,
02RC005,2,1993/06/25,439.62,
02RC005,2,1993/06/26,439.56,
02RC005,2,1993/06/27,439.51,
02RC005,2,1993/06/28,439.47,
02RC005,2,1993/06/29,439.48,
02RC005,2,1993/06/30,439.46,
02RC005,2,1993/07/01,439.44,
02RC005,2,1993/07/02,439.41,
02RC005,2,1993/07/03,439.37,
02RC005,2,1993/07/04,439.38,
02RC005,2,1993/07/05,439.34,
02RC005,2,1993/07/06,439.33,
02RC005,2,1993/07/07,439.34,
02RC005,2,1993/07/08,439.40,
02RC005,2,1993/07/09,439.44,
02RC005,2,1993/07/10,439.51,
02RC005,2,1993/07/11,439.57,
02RC005,2,1993/07/12,439.64,
02RC005,2,1993/07/13,439.72,
02RC005,2,1993/07/14,439.77,
02RC005,2,1993/07/15,439.83,
02RC005,2,1993/07/16,439.88,
02RC005,2,1993/07/17,439.91,
02RC005,2,1993/07/18,439.92,
02RC005,2,1993/07/19,439.94,
02RC005,2,1993/07/20,439.95,
02RC005,2,1993/07/21,440.00,
02RC005,2,1993/07/22,440.03,
02RC005,2,1993/07/23,440.09,
02RC005,2,1993/07/24,440.18,
02RC005,2,1993/07/25,440.30,
02RC005,2,1993/07/26,440.37,
02RC005,2,1993/07/27,440.43,
02RC005,2,1993/07/28,440.47,
02RC005,2,1993/07/29,440.49,
02RC005,2,1993/07/30,440.49,
02RC005,2,1993/07/31,440.44,
02RC005,2,1993/08/01,440.36,
02RC005,2,1993/08/02,440.34,
02RC005,2,1993/08/03,440.34,
02RC005,2,1993/08/04,440.35,
02RC005,2,1993/08/05,440.35,
02RC005,2,1993/08/06,440.33,
02RC005,2,1993/08/07,440.33,
02RC005,2,1993/08/08,440.34,
02RC005,2,1993/08/09,440.35,
02RC005,2,1993/08/10,440.37,
02RC005,2,1993/08/11,440.39,
02RC005,2,1993/08/12,440.43,
02RC005,2,1993/08/13,440.42,
02RC005,2,1993/08/14,440.44,
02RC005,2,1993/08/15,440.47,
02RC005,2,1993/08/16,440.47,
02RC005,2,1993/08/17,440.46,
02RC005,2,1993/08/18,440.40,
02RC005,2,1993/08/19,440.37,
02RC005,2,1993/08/20,440.37,
02RC005,2,1993/08/21,440.36,
02RC005,2,1993/08/22,440.31,
02RC005,2,1993/08/23,440.29,
02RC005,2,1993/08/24,440.26,
02RC005,2,1993/08/25,440.25,
02RC005,2,1993/08/26,440.24,
02RC005,2,1993/08/27,440.23,
02RC005,2,1993/08/28,440.24,
02RC005,2,1993/08/29,440.31,
02RC005,2,1993/08/30,440.38,
02RC005,2,1993/08/31,440.47,
02RC005,2,1993/09/01,440.53,
02RC005,2,1993/09/02,440.55,
02RC005,2,1993/09/03,440.57,
02RC005,2,1993/09/04,440.53,
02RC005,2,1993/09/05,440.56,
02RC005,2,1993/09/06,440.54,
02RC005,2,1993/09/07,440.54,
02RC005,2,1993/09/08,440.52,
02RC005,2,1993/09/09,440.52,
02RC005,2,1993/09/10,440.51,
02RC005,2,1993/09/11,440.54,
02RC005,2,1993/09/12,440.52,
02RC005,2,1993/09/13,440.53,
02RC005,2,1993/09/14,440.57,
02RC005,2,1993/09/15,440.56,
02RC005,2,1993/09/16,440.47,
02RC005,2,1993/09/17,440.51,
02RC005,2,1993/09/18,440.57,
02RC005,2,1993/09/19,440.56,
02RC005,2,1993/09/20,440.58,
02RC005,2,1993/09/21,440.56,
02RC005,2,1993/09/22,440.54,
02RC005,2,1993/09/23,440.55,
02RC005,2,1993/09/24,440.56,
02RC005,2,1993/09/25,440.55,
02RC005,2,1993/09/26,440.55,
02RC005,2,1993/09/27,440.55,
02RC005,2,1993/09/28,440.57,
02RC005,2,1993/09/29,440.57,
02RC005,2,1993/09/30,440.57,
02RC005,2,1993/10/01,440.57,
02RC005,2,1993/10/02,440.58,
02RC005,2,1993/10/03,440.59,
02RC005,2,1993/10/04,440.59,
02RC005,2,1993/10/05,440.59,
02RC005,2,1993/10/06,440.57,
02RC005,2,1993/10/07,440.56,
02RC005,2,1993/10/08,440.57,
02RC005,2,1993/10/09,440.57,
02RC005,2,1993/10/10,440.53,
02RC005,2,1993/10/11,440.51,
02RC005,2,1993/10/12,440.46,
02RC005,2,1993/10/13,440.46,
02RC005,2,1993/10/14,440.45,
02RC005,2,1993/10/15,440.45,
02RC005,2,1993/10/16,440.46,
02RC005,2,1993/10/17,440.48,
02RC005,2,1993/10/18,440.51,
02RC005,2,1993/10/19,440.51,
02RC005,2,1993/10/20,440.53,
02RC005,2,1993/10/21,440.55,
02RC005,2,1993/10/22,440.58,
02RC005,2,1993/10/23,440.59,
02RC005,2,1993/10/24,440.56,
02RC005,2,1993/10/25,440.55,
02RC005,2,1993/10/26,440.53,
02RC005,2,1993/10/27,440.52,
02RC005,2,1993/10/28,440.53,
02RC005,2,1993/10/29,440.50,
02RC005,2,1993/10/30,440.48,
02RC005,2,1993/10/31,440.48,
02RC005,2,1993/11/01,440.46,
02RC005,2,1993/11/02,440.41,
02RC005,2,1993/11/03,440.35,
02RC005,2,1993/11/04,440.33,
02RC005,2,1993/11/05,440.31,
02RC005,2,1993/11/06,440.29,
02RC005,2,1993/11/07,440.23,
02RC005,2,1993/11/08,440.17,
02RC005,2,1993/11/09,440.15,
02RC005,2,1993/11/10,440.12,
02RC005,2,1993/11/11,440.08,
02RC005,2,1993/11/12,440.05,
02RC005,2,1993/11/13,440.00,
02RC005,2,1993/11/14,439.96,
02RC005,2,1993/11/15,439.92,
02RC005,2,1993/11/16,439.86,
02RC005,2,1993/11/17,439.82,
02RC005,2,1993/11/18,439.78,
02RC005,2,1993/11/19,439.72,
02RC005,2,1993/11/20,439.67,
02RC005,2,1993/11/21,439.61,
02RC005,2,1993/11/22,439.55,
02RC005,2,1993/11/23,439.50,
02RC005,2,1993/11/24,439.45,
02RC005,2,1993/11/25,439.38,
02RC005,2,1993/11/26,439.35,
02RC005,2,1993/11/27,439.32,
02RC005,2,1993/11/28,439.31,
02RC005,2,1993/11/29,439.31,
02RC005,2,1993/11/30,439.33,
02RC005,2,1993/12/01,439.33,
02RC005,2,1993/12/02,439.33,
02RC005,2,1993/12/03,439.33,
02RC005,2,1993/12/04,439.36,
02RC005,2,1993/12/05,439.37,
02RC005,2,1993/12/06,439.37,
02RC005,2,1993/12/07,439.37,
02RC005,2,1993/12/08,439.38,
02RC005,2,1993/12/09,439.38,
02RC005,2,1993/12/10,439.36,
02RC005,2,1993/12/11,439.36,
02RC005,2,1993/12/12,439.34,
02RC005,2,1993/12/13,439.31,
02RC005,2,1993/12/14,439.29,
02RC005,2,1993/12/15,439.28,
02RC005,2,1993/12/16,439.25,
02RC005,2,1993/12/17,439.22,
02RC005,2,1993/12/18,439.19,
02RC005,2,1993/12/19,439.17,
02RC005,2,1993/12/20,439.14,
02RC005,2,1993/12/21,439.13,
02RC005,2,1993/12/22,439.12,
02RC005,2,1993/12/23,439.08,
02RC005,2,1993/12/24,439.05,
02RC005,2,1993/12/25,439.01,
02RC005,2,1993/12/26,438.98,
02RC005,2,1993/12/27,438.95,
02RC005,2,1993/12/28,438.92,
02RC005,2,1993/12/29,438.90,
02RC005,2,1993/12/30,438.87,
02RC005,2,1993/12/31,438.82,
02RC005,2,1994/01/01,438.82,
