 ID,PARAM,Date,La tuque,SYM
02NE002,1,1994/01/01,436,
02NE002,1,1994/01/02,509,
02NE002,1,1994/01/03,625,
02NE002,1,1994/01/04,500,
02NE002,1,1994/01/05,539,
02NE002,1,1994/01/06,569,
02NE002,1,1994/01/07,594,
02NE002,1,1994/01/08,548,
02NE002,1,1994/01/09,542,
02NE002,1,1994/01/10,574,
02NE002,1,1994/01/11,520,
02NE002,1,1994/01/12,591,
02NE002,1,1994/01/13,552,
02NE002,1,1994/01/14,540,
02NE002,1,1994/01/15,566,
02NE002,1,1994/01/16,607,
02NE002,1,1994/01/17,600,
02NE002,1,1994/01/18,583,
02NE002,1,1994/01/19,613,
02NE002,1,1994/01/20,646,
02NE002,1,1994/01/21,625,
02NE002,1,1994/01/22,560,
02NE002,1,1994/01/23,620,
02NE002,1,1994/01/24,605,
02NE002,1,1994/01/25,633,
02NE002,1,1994/01/26,638,
02NE002,1,1994/01/27,601,
02NE002,1,1994/01/28,618,
02NE002,1,1994/01/29,602,
02NE002,1,1994/01/30,652,
02NE002,1,1994/01/31,651,
02NE002,1,1994/02/01,654,
02NE002,1,1994/02/02,651,
02NE002,1,1994/02/03,653,
02NE002,1,1994/02/04,654,
02NE002,1,1994/02/05,653,
02NE002,1,1994/02/06,654,
02NE002,1,1994/02/07,641,
02NE002,1,1994/02/08,656,
02NE002,1,1994/02/09,648,
02NE002,1,1994/02/10,649,
02NE002,1,1994/02/11,649,
02NE002,1,1994/02/12,663,
02NE002,1,1994/02/13,670,
02NE002,1,1994/02/14,663,
02NE002,1,1994/02/15,663,
02NE002,1,1994/02/16,669,
02NE002,1,1994/02/17,680,
02NE002,1,1994/02/18,674,
02NE002,1,1994/02/19,674,
02NE002,1,1994/02/20,651,
02NE002,1,1994/02/21,630,
02NE002,1,1994/02/22,640,
02NE002,1,1994/02/23,640,
02NE002,1,1994/02/24,640,
02NE002,1,1994/02/25,626,
02NE002,1,1994/02/26,632,
02NE002,1,1994/02/27,673,
02NE002,1,1994/02/28,676,
02NE002,1,1994/03/01,670,
02NE002,1,1994/03/02,521,
02NE002,1,1994/03/03,472,
02NE002,1,1994/03/04,562,
02NE002,1,1994/03/05,600,
02NE002,1,1994/03/06,600,
02NE002,1,1994/03/07,592,
02NE002,1,1994/03/08,586,
02NE002,1,1994/03/09,579,
02NE002,1,1994/03/10,589,
02NE002,1,1994/03/11,625,
02NE002,1,1994/03/12,603,
02NE002,1,1994/03/13,570,
02NE002,1,1994/03/14,491,
02NE002,1,1994/03/15,558,
02NE002,1,1994/03/16,577,
02NE002,1,1994/03/17,552,
02NE002,1,1994/03/18,526,
02NE002,1,1994/03/19,541,
02NE002,1,1994/03/20,532,
02NE002,1,1994/03/21,529,
02NE002,1,1994/03/22,499,
02NE002,1,1994/03/23,442,
02NE002,1,1994/03/24,552,
02NE002,1,1994/03/25,548,
02NE002,1,1994/03/26,470,
02NE002,1,1994/03/27,417,
02NE002,1,1994/03/28,416,
02NE002,1,1994/03/29,471,
02NE002,1,1994/03/30,492,
02NE002,1,1994/03/31,418,
02NE002,1,1994/04/01,431,
02NE002,1,1994/04/02,428,
02NE002,1,1994/04/03,415,
02NE002,1,1994/04/04,396,
02NE002,1,1994/04/05,466,
02NE002,1,1994/04/06,436,
02NE002,1,1994/04/07,362,
02NE002,1,1994/04/08,426,
02NE002,1,1994/04/09,394,
02NE002,1,1994/04/10,446,
02NE002,1,1994/04/11,436,
02NE002,1,1994/04/12,471,
02NE002,1,1994/04/13,440,
02NE002,1,1994/04/14,458,
02NE002,1,1994/04/15,445,
02NE002,1,1994/04/16,477,
02NE002,1,1994/04/17,598,
02NE002,1,1994/04/18,599,
02NE002,1,1994/04/19,612,
02NE002,1,1994/04/20,717,
02NE002,1,1994/04/21,773,
02NE002,1,1994/04/22,664,
02NE002,1,1994/04/23,667,
02NE002,1,1994/04/24,634,
02NE002,1,1994/04/25,585,
02NE002,1,1994/04/26,552,
02NE002,1,1994/04/27,513,
02NE002,1,1994/04/28,578,
02NE002,1,1994/04/29,640,
02NE002,1,1994/04/30,684,
02NE002,1,1994/05/01,736,
02NE002,1,1994/05/02,776,
02NE002,1,1994/05/03,741,
02NE002,1,1994/05/04,735,
02NE002,1,1994/05/05,874,
02NE002,1,1994/05/06,1020,
02NE002,1,1994/05/07,1170,
02NE002,1,1994/05/08,1320,
02NE002,1,1994/05/09,1420,
02NE002,1,1994/05/10,1670,
02NE002,1,1994/05/11,1680,
02NE002,1,1994/05/12,1590,
02NE002,1,1994/05/13,1730,
02NE002,1,1994/05/14,1770,
02NE002,1,1994/05/15,1460,
02NE002,1,1994/05/16,1290,
02NE002,1,1994/05/17,1210,
02NE002,1,1994/05/18,979,
02NE002,1,1994/05/19,832,
02NE002,1,1994/05/20,836,
02NE002,1,1994/05/21,951,
02NE002,1,1994/05/22,851,
02NE002,1,1994/05/23,766,
02NE002,1,1994/05/24,781,
02NE002,1,1994/05/25,667,
02NE002,1,1994/05/26,590,
02NE002,1,1994/05/27,569,
02NE002,1,1994/05/28,610,
02NE002,1,1994/05/29,578,
02NE002,1,1994/05/30,509,
02NE002,1,1994/05/31,469,
02NE002,1,1994/06/01,487,
02NE002,1,1994/06/02,629,
02NE002,1,1994/06/03,748,
02NE002,1,1994/06/04,795,
02NE002,1,1994/06/05,715,
02NE002,1,1994/06/06,605,
02NE002,1,1994/06/07,490,
02NE002,1,1994/06/08,461,
02NE002,1,1994/06/09,468,
02NE002,1,1994/06/10,438,
02NE002,1,1994/06/11,401,
02NE002,1,1994/06/12,328,
02NE002,1,1994/06/13,317,
02NE002,1,1994/06/14,378,
02NE002,1,1994/06/15,359,
02NE002,1,1994/06/16,387,
02NE002,1,1994/06/17,348,
02NE002,1,1994/06/18,367,
02NE002,1,1994/06/19,362,
02NE002,1,1994/06/20,393,
02NE002,1,1994/06/21,454,
02NE002,1,1994/06/22,461,
02NE002,1,1994/06/23,434,
