 ID,PARAM,dateTime,Jean-Lesage,SYM
02TC003,1,2025/01/01,1340,
02TC003,1,2025/01/02,1100,
02TC003,1,2025/01/03,1400,
02TC003,1,2025/01/04,1440,
02TC003,1,2025/01/05,1470,
02TC003,1,2025/01/06,1450,
02TC003,1,2025/01/07,1460,
02TC003,1,2025/01/08,1450,
02TC003,1,2025/01/09,1460,
02TC003,1,2025/01/10,1460,
02TC003,1,2025/01/11,1450,
02TC003,1,2025/01/12,1450,
02TC003,1,2025/01/13,1440,
02TC003,1,2025/01/14,1450,
02TC003,1,2025/01/15,1460,
02TC003,1,2025/01/16,1460,
02TC003,1,2025/01/17,1450,
02TC003,1,2025/01/18,1450,
02TC003,1,2025/01/19,1450,
02TC003,1,2025/01/20,1440,
02TC003,1,2025/01/21,1520,
02TC003,1,2025/01/22,1500,
02TC003,1,2025/01/23,1480,
02TC003,1,2025/01/24,1470,
02TC003,1,2025/01/25,1450,
02TC003,1,2025/01/26,1440,
02TC003,1,2025/01/27,1450,
02TC003,1,2025/01/28,1440,
02TC003,1,2025/01/29,1450,
02TC003,1,2025/01/30,1460,
02TC003,1,2025/01/31,1460,
02TC003,1,2025/02/01,1450,
02TC003,1,2025/02/02,1430,
02TC003,1,2025/02/03,1460,
02TC003,1,2025/02/04,1460,
02TC003,1,2025/02/05,1450,
02TC003,1,2025/02/06,1430,
02TC003,1,2025/02/07,1430,
02TC003,1,2025/02/08,1460,
02TC003,1,2025/02/09,1460,
02TC003,1,2025/02/10,1460,
02TC003,1,2025/02/11,1460,
02TC003,1,2025/02/12,1460,
02TC003,1,2025/02/13,1450,
02TC003,1,2025/02/14,1340,
02TC003,1,2025/02/15,1450,
02TC003,1,2025/02/16,1460,
02TC003,1,2025/02/17,1450,
02TC003,1,2025/02/18,1420,
02TC003,1,2025/02/19,1440,
02TC003,1,2025/02/20,1030,
02TC003,1,2025/02/21,1220,
02TC003,1,2025/02/22,1240,
02TC003,1,2025/02/23,1450,
02TC003,1,2025/02/24,1460,
02TC003,1,2025/02/25,1440,
02TC003,1,2025/02/26,1290,
02TC003,1,2025/02/27,1450,
02TC003,1,2025/02/28,1410,
02TC003,1,2025/03/01,1380,
02TC003,1,2025/03/02,1430,
02TC003,1,2025/03/03,1440,
02TC003,1,2025/03/04,1440,
02TC003,1,2025/03/05,1430,
02TC003,1,2025/03/06,1390,
02TC003,1,2025/03/07,1370,
02TC003,1,2025/03/08,1110,
02TC003,1,2025/03/09,1430,
02TC003,1,2025/03/10,1420,
02TC003,1,2025/03/11,1430,
02TC003,1,2025/03/12,1430,
02TC003,1,2025/03/13,1430,
02TC003,1,2025/03/14,1430,
02TC003,1,2025/03/15,1440,
02TC003,1,2025/03/16,1430,
02TC003,1,2025/03/17,1440,
02TC003,1,2025/03/18,1440,
02TC003,1,2025/03/19,1440,
02TC003,1,2025/03/20,1440,
02TC003,1,2025/03/21,1450,
02TC003,1,2025/03/22,1450,
02TC003,1,2025/03/23,1310,
02TC003,1,2025/03/24,1250,
02TC003,1,2025/03/25,1260,
02TC003,1,2025/03/26,1260,
02TC003,1,2025/03/27,1270,
02TC003,1,2025/03/28,1430,
02TC003,1,2025/03/29,1420,
02TC003,1,2025/03/30,1400,
02TC003,1,2025/03/31,1440,
02TC003,1,2025/04/01,1450,
02TC003,1,2025/04/02,1420,
02TC003,1,2025/04/03,1420,
02TC003,1,2025/04/04,1300,
02TC003,1,2025/04/05,1190,
02TC003,1,2025/04/06,1260,
02TC003,1,2025/04/07,1260,
02TC003,1,2025/04/08,1260,
02TC003,1,2025/04/09,1260,
02TC003,1,2025/04/10,1270,
02TC003,1,2025/04/11,1260,
02TC003,1,2025/04/12,1260,
02TC003,1,2025/04/13,1270,
02TC003,1,2025/04/14,1270,
02TC003,1,2025/04/15,1270,
02TC003,1,2025/04/16,1150,
02TC003,1,2025/04/17,1130,
02TC003,1,2025/04/18,1080,
02TC003,1,2025/04/19,1070,
02TC003,1,2025/04/20,1080,
02TC003,1,2025/04/21,1070,
02TC003,1,2025/04/22,1020,
02TC003,1,2025/04/23,1080,
02TC003,1,2025/04/24,1010,
02TC003,1,2025/04/25,1070,
02TC003,1,2025/04/26,1150,
02TC003,1,2025/04/27,1270,
02TC003,1,2025/04/28,1240,
02TC003,1,2025/04/29,1170,
02TC003,1,2025/04/30,1050,
